Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1586,1609,1561,1601,1612,1609,1621,1625
B1,1561,1550,1523,1532,1519,1531,1561,1569
B2,1591,1599,1497,1537,1580,1547,1537,1616
B3,1571,1546,1623,3694,1563,1515,1548,1502
B4,1548,1530,1540,1525,1546,1554,1540,1586
B5,1646,1561,1632,1594,1563,1607,1574,1551
B6,1586,1534,1563,1548,1556,3674,1535,1581
B7,1564,1575,1552,1565,1543,1529,1581,1559
B8,1584,424,1557,1597,1608,1592,1571,1613
B9,3435,1492,1513,1521,1508,1501,1516,1536
B10,1550,1578,1550,1532,1549,1541,1522,1550
B11,1587,1668,1601,1648,1623,1557,1631,1604
B12,1620,1672,1535,1587,1561,1567,1551,1634
B13,1564,1527,435,1609,1574,1529,1551,1522
B14,1619,1570,1553,1569,1616,1587,1604,1513
B15,1534,1598,1609,1565,1617,1568,1615,1603
