Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,968,980,930,957,991,971,960,957
B1,911,907,898,920,897,914,909,920
B2,941,933,907,926,937,927,911,935
B3,1005,990,1023,1341,970,963,995,1039
B4,983,938,967,982,956,963,966,984
B5,947,930,940,948,923,941,931,917
B6,999,956,986,974,973,1325,943,998
B7,990,976,947,984,936,983,964,946
B8,916,429,923,953,934,910,922,949
B9,1181,929,966,946,950,975,958,957
B10,919,928,921,927,920,925,909,919
B11,947,963,955,1012,956,946,938,949
B12,935,916,927,943,931,933,932,946
B13,919,904,442,943,918,917,914,905
B14,946,949,936,951,943,953,954,941
B15,917,927,911,927,931,946,939,945
