Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2176,2155,2137,2165,2190,2175,2179,2162
B1,2156,2137,2120,2133,2122,2124,2153,2158
B2,2187,2170,2100,2134,2139,2136,2142,2176
B3,2193,2167,2178,3746,2161,2132,2151,2150
B4,2137,2116,2124,2109,2155,2137,2142,2151
B5,2208,2142,2192,2163,2151,2174,2163,2150
B6,2200,2122,2173,2141,2138,3728,2123,2147
B7,2167,2179,2137,2145,2136,2129,2156,2141
B8,2184,374,2140,2175,2179,2155,2155,2176
B9,3534,2133,2141,2122,2157,2104,2139,2143
B10,2139,2149,2154,2131,2135,2107,2128,2133
B11,2197,2240,2175,2204,2160,2160,2189,2182
B12,2194,2200,2155,2158,2167,2155,2133,2177
B13,2164,2146,385,2176,2172,2128,2147,2139
B14,2163,2133,2155,2158,2173,2156,2186,2138
B15,2155,2167,2170,2159,2180,2166,2177,2168
