Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,978,1005,959,984,1026,993,987,983
B1,936,941,924,950,922,936,933,947
B2,969,956,938,956,961,955,938,963
B3,1035,1015,1049,1371,1002,999,1029,1061
B4,1006,964,987,1004,983,986,991,1005
B5,974,954,960,976,942,971,957,940
B6,1028,995,1018,1006,1007,1351,979,1024
B7,1010,1016,976,997,973,1014,994,961
B8,947,427,953,990,972,943,952,982
B9,1221,968,1010,994,983,1008,992,994
B10,950,959,957,957,953,957,941,949
B11,980,990,983,1031,987,977,967,979
B12,968,949,961,978,966,977,965,982
B13,954,942,435,977,950,950,939,933
B14,976,978,962,979,969,994,983,970
B15,944,956,952,957,961,980,968,969
