Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,991,1007,957,983,1029,994,985,979
B1,938,929,923,946,924,934,937,948
B2,968,961,941,955,963,959,940,964
B3,1035,1021,1051,1371,1001,999,1035,1057
B4,1001,962,990,1005,984,987,990,1004
B5,976,956,966,980,946,969,957,943
B6,1027,997,1017,1008,1011,1352,978,1034
B7,1011,1004,972,998,974,1011,995,973
B8,946,428,954,986,967,945,949,984
B9,1220,966,1000,978,983,1009,995,989
B10,947,956,953,955,955,955,945,948
B11,979,993,983,1034,986,980,969,981
B12,971,945,956,978,964,971,972,985
B13,951,936,437,979,947,950,944,939
B14,973,979,964,980,968,982,985,970
B15,941,955,952,959,961,980,969,969
