Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,924,941,896,929,956,928,920,919
B1,881,873,871,891,871,883,882,893
B2,907,905,876,897,909,902,884,905
B3,972,958,990,1312,941,933,968,1007
B4,945,907,931,945,923,930,932,942
B5,922,904,912,922,889,912,904,891
B6,971,917,949,937,939,1302,912,964
B7,949,953,911,938,910,951,943,911
B8,888,434,899,938,911,881,896,931
B9,1145,904,937,913,922,939,930,920
B10,895,892,895,894,890,892,881,888
B11,910,920,916,953,919,912,901,909
B12,906,890,902,908,902,905,908,923
B13,891,877,429,913,885,886,884,872
B14,921,920,905,922,915,926,925,911
B15,886,898,892,902,905,917,911,912
