Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1060,1066,1023,1045,1088,1058,1047,1037
B1,990,980,975,996,979,990,985,1004
B2,1021,1011,990,1002,1013,1007,991,1009
B3,1102,1088,1117,1441,1066,1065,1095,1127
B4,1065,1022,1049,1073,1044,1051,1051,1069
B5,1026,1008,1017,1028,995,1022,1012,991
B6,1097,1051,1083,1066,1066,1414,1042,1085
B7,1061,1061,1023,1058,1027,1065,1051,1029
B8,997,425,994,1030,1012,989,997,1024
B9,1285,1016,1047,1033,1036,1060,1041,1041
B10,999,1006,1000,1008,1000,1007,990,998
B11,1035,1047,1041,1100,1040,1039,1024,1035
B12,1017,994,1008,1028,1013,1018,1017,1030
B13,997,983,431,1025,997,998,992,992
B14,1026,1026,1015,1025,1015,1032,1034,1020
B15,991,1005,997,1008,1007,1027,1015,1014
