Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1058,1063,1013,1040,1084,1054,1048,1035
B1,988,984,984,997,977,988,988,1005
B2,1018,1013,987,998,1012,1005,986,1011
B3,1101,1091,1116,1443,1067,1063,1088,1129
B4,1061,1020,1050,1074,1042,1049,1051,1067
B5,1025,997,1018,1025,993,1025,1011,993
B6,1085,1053,1076,1073,1064,1414,1041,1088
B7,1069,1055,1036,1056,1024,1067,1053,1029
B8,993,422,998,1031,1015,992,997,1025
B9,1286,1021,1044,1029,1038,1060,1042,1041
B10,997,1000,1004,1006,1002,1004,991,996
B11,1034,1044,1035,1092,1039,1034,1020,1026
B12,1017,997,1007,1024,1011,1017,1015,1027
B13,999,984,433,1024,994,997,991,982
B14,1023,1017,1013,1033,1017,1032,1031,1018
B15,990,999,998,1007,1008,1029,1017,1015
