Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1007,1016,972,991,1032,1006,998,985
B1,948,943,937,958,934,949,949,959
B2,983,972,951,967,977,963,953,978
B3,1051,1038,1072,1390,1017,1011,1041,1076
B4,1016,978,1024,1020,1001,1002,1007,1023
B5,988,971,984,987,957,980,975,954
B6,1048,1012,1033,1026,1024,1365,993,1046
B7,1025,1024,980,1014,983,1028,1010,988
B8,959,427,963,992,964,958,950,987
B9,1227,974,1005,986,994,1016,1003,998
B10,956,968,966,965,960,968,952,959
B11,986,997,991,1040,995,988,977,983
B12,976,959,973,987,977,978,983,994
B13,961,947,436,985,962,957,949,949
B14,983,986,972,992,979,989,995,978
B15,955,967,962,971,971,988,978,976
