Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1004,1016,963,986,1036,1001,998,979
B1,935,932,920,945,922,939,939,946
B2,970,964,937,960,964,961,946,969
B3,1036,1012,1053,1388,1000,1001,1027,1062
B4,1008,971,991,1008,986,988,989,1007
B5,969,955,968,980,943,971,959,941
B6,1024,991,1010,1002,1007,1350,977,1025
B7,1003,997,973,996,970,1005,988,972
B8,946,429,953,983,964,944,947,974
B9,1217,962,993,976,983,1000,987,983
B10,952,958,950,954,956,956,937,948
B11,979,994,988,1057,983,983,963,986
B12,973,947,965,976,962,969,972,980
B13,951,938,437,979,947,949,945,935
B14,978,979,968,981,968,981,983,969
B15,948,957,955,960,956,975,969,969
