Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1043,1051,1003,1028,1070,1042,1036,1023
B1,984,978,972,991,972,983,983,990
B2,1016,1007,982,1006,1009,1001,983,1008
B3,1093,1080,1107,1429,1058,1056,1086,1115
B4,1059,1015,1042,1063,1038,1038,1046,1059
B5,1028,1002,1014,1025,1005,1017,1011,990
B6,1090,1044,1081,1067,1059,1407,1033,1073
B7,1058,1049,1020,1049,1015,1061,1042,1023
B8,987,423,989,1021,1006,984,992,1016
B9,1272,1007,1036,1024,1025,1048,1030,1026
B10,973,995,992,995,989,995,981,987
B11,1018,1028,1023,1079,1025,1020,1009,1020
B12,1009,984,1000,1029,1005,1009,1008,1025
B13,986,976,432,1013,986,987,984,974
B14,1013,1016,999,1019,1008,1020,1021,1005
B15,984,995,993,999,1000,1019,1008,1008
