Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2482,2478,2433,2459,2486,2447,2476,2466
B1,2450,2445,2432,2431,2422,2432,2461,2439
B2,2467,2463,2426,2442,2455,2443,2446,2475
B3,2523,2471,2481,3807,2471,2443,2463,2471
B4,2457,2432,2442,2427,2454,2449,2459,2453
B5,2501,2443,2475,2450,2448,2483,2440,2455
B6,2512,2418,2471,2468,2451,3801,2447,2447
B7,2457,2469,2450,2450,2451,2438,2464,2437
B8,2469,345,2450,2499,2475,2464,2449,2504
B9,3632,2440,2466,2437,2483,2450,2479,2453
B10,2470,2453,2452,2429,2445,2427,2447,2434
B11,2486,2507,2463,2490,2470,2442,2471,2478
B12,2474,2472,2454,2456,2464,2449,2436,2465
B13,2462,2443,356,2451,2456,2443,2452,2436
B14,2485,2450,2437,2469,2476,2451,2459,2455
B15,2460,2455,2447,2459,2459,2460,2474,2472
