Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1043,1052,1005,1028,1070,1043,1039,1027
B1,984,980,971,994,965,984,984,989
B2,1018,1007,983,996,1001,1000,983,1011
B3,1093,1076,1107,1431,1059,1056,1087,1117
B4,1055,1015,1043,1055,1036,1041,1044,1059
B5,1023,1004,1013,1026,990,1016,1006,986
B6,1090,1046,1073,1064,1061,1402,1032,1080
B7,1059,1049,1019,1046,1017,1058,1043,1022
B8,988,424,988,1022,1003,984,989,1021
B9,1270,1007,1036,1024,1026,1056,1031,1022
B10,988,995,989,994,991,992,982,989
B11,1019,1029,1025,1076,1022,1020,1009,1019
B12,1006,988,1000,1019,1003,1006,1008,1019
B13,987,975,434,1012,985,987,981,975
B14,1014,1016,1002,1019,1009,1022,1025,1007
B15,983,995,992,1002,999,1018,1008,1007
