Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1041,1053,1001,1031,1071,1039,1038,1017
B1,982,982,968,988,975,978,979,995
B2,1017,1010,977,999,1007,1002,984,1010
B3,1097,1077,1109,1434,1056,1055,1088,1115
B4,1056,1017,1038,1059,1028,1041,1042,1057
B5,1021,997,1011,1023,989,1017,1005,990
B6,1087,1047,1072,1064,1063,1401,1034,1083
B7,1058,1046,1019,1049,1017,1057,1048,1021
B8,987,424,990,1022,1004,984,990,1016
B9,1281,1008,1035,1019,1026,1048,1033,1031
B10,989,993,994,994,987,995,987,987
B11,1019,1031,1025,1076,1025,1026,1012,1025
B12,1009,988,997,1019,1004,1010,1003,1032
B13,989,977,434,1010,986,989,983,976
B14,1011,1006,1000,1019,1006,1005,1022,1012
B15,983,996,991,1000,1017,1019,1007,1006
