Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1041,1048,1010,1025,1071,1041,1033,1025
B1,984,976,973,987,969,984,986,992
B2,1015,1006,981,1003,1015,1000,984,1015
B3,1095,1079,1107,1432,1056,1067,1086,1115
B4,1055,1015,1039,1058,1037,1039,1036,1060
B5,1021,1000,1017,1019,991,1017,1005,991
B6,1088,1044,1073,1063,1060,1405,1031,1084
B7,1060,1050,1019,1048,1017,1057,1042,1020
B8,985,423,989,1021,1005,983,989,1014
B9,1273,1007,1037,1019,1003,1050,1031,1030
B10,985,1001,999,1000,991,997,984,987
B11,1024,1032,1022,1074,1026,1022,1007,1022
B12,1008,987,1000,1018,1002,1008,1010,1021
B13,985,973,433,1013,984,987,982,975
B14,1013,1014,1000,1021,1005,1021,1023,1008
B15,982,995,991,999,1007,1018,994,1003
