Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1716,1680,1668,1672,1713,1700,1719,1684
B1,1670,1644,1628,1631,1612,1617,1663,1656
B2,1667,1679,1593,1616,1655,1623,1628,1683
B3,1699,1670,1732,3705,1674,1626,1668,1614
B4,1650,1634,1634,1632,1661,1664,1646,1702
B5,1745,1672,1736,1688,1674,1712,1698,1650
B6,1678,1608,1656,1646,1634,3696,1658,1677
B7,1653,1684,1652,1660,1611,1631,1675,1644
B8,1682,423,1684,1672,1685,1683,1678,1679
B9,3454,1610,1623,1631,1604,1612,1627,1632
B10,1657,1659,1648,1627,1646,1628,1628,1633
B11,1684,1756,1695,1739,1749,1665,1714,1703
B12,1728,1762,1638,1670,1674,1656,1646,1737
B13,1670,1630,431,1702,1674,1639,1657,1620
B14,1703,1659,1649,1674,1704,1685,1696,1617
B15,1633,1688,1694,1669,1695,1672,1701,1689
