Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1447,1461,1368,1388,1508,1432,1428,1439
B1,1361,1346,1344,1359,1341,1356,1371,1375
B2,1419,1413,1375,1364,1406,1384,1363,1403
B3,1409,1382,1383,3593,1362,1351,1372,1417
B4,1461,1372,1419,1429,1414,1395,1427,1434
B5,1416,1395,1411,1399,1371,1396,1396,1365
B6,1436,1364,1406,1392,1368,3595,1371,1396
B7,1488,1448,1383,1420,1418,1455,1431,1384
B8,1245,397,1241,1279,1258,1248,1243,1267
B9,3364,1359,1370,1386,1377,1381,1378,1413
B10,1394,1417,1409,1407,1418,1394,1397,1392
B11,1450,1483,1458,1528,1469,1425,1431,1417
B12,1444,1405,1408,1405,1408,1411,1404,1433
B13,1242,1222,404,1269,1241,1245,1227,1222
B14,1447,1443,1432,1449,1424,1453,1474,1410
B15,1399,1439,1420,1421,1439,1439,1458,1459
