Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,878,895,849,874,915,877,874,865
B1,838,829,825,845,827,837,839,850
B2,861,858,835,850,858,849,834,857
B3,908,903,937,1280,896,882,919,950
B4,890,858,885,895,883,883,879,908
B5,870,857,865,875,844,869,861,841
B6,913,881,897,886,887,1280,860,913
B7,906,912,869,897,863,901,892,870
B8,839,440,851,888,868,844,850,882
B9,1090,856,893,861,874,896,882,878
B10,845,853,851,852,851,853,838,845
B11,865,882,877,916,877,866,857,863
B12,860,844,861,871,860,864,865,877
B13,848,837,452,874,848,842,839,832
B14,871,873,857,872,868,877,880,866
B15,836,851,847,852,859,872,862,862
