Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,879,900,849,874,914,880,874,872
B1,839,834,827,845,826,845,837,852
B2,857,857,830,850,856,850,833,861
B3,919,904,938,1272,894,884,909,957
B4,895,859,882,892,886,881,884,905
B5,868,858,866,873,850,868,860,844
B6,913,878,896,887,891,1276,860,910
B7,904,900,868,895,864,911,885,869
B8,838,440,852,888,865,837,850,881
B9,1091,854,892,864,874,888,882,879
B10,848,857,852,854,850,851,841,847
B11,868,883,877,919,875,869,860,869
B12,861,854,857,870,860,860,865,879
B13,849,834,454,867,850,844,843,828
B14,866,873,863,873,867,880,879,867
B15,840,852,846,858,859,876,864,862
