Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1918,1914,1883,1892,1921,1902,1935,1925
B1,1883,1865,1853,1849,1833,1848,1866,1879
B2,1894,1915,1822,1835,1883,1854,1839,1919
B3,1920,1890,1946,3737,1902,1859,1904,1849
B4,1884,1850,1867,1853,1873,1879,1867,1901
B5,1949,1861,1936,1900,1898,1920,1879,1876
B6,1915,1829,1895,1864,1861,3734,1861,1897
B7,1874,1893,1863,1895,1860,1843,1885,1869
B8,1904,397,1884,1913,1928,1904,1890,1929
B9,3502,1853,1859,1851,1851,1838,1848,1888
B10,1867,1875,1875,1856,1873,1839,1853,1856
B11,1903,1954,1921,1943,1929,1875,1921,1914
B12,1952,1961,1871,1882,1901,1876,1866,1950
B13,1892,1862,411,1927,1904,1862,1896,1847
B14,1911,1875,1874,1878,1909,1889,1896,1844
B15,1866,1903,1907,1888,1916,1901,1919,1913
