Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1927,1893,1881,1897,1932,1916,1927,1908
B1,1882,1866,1853,1850,1840,1848,1864,1886
B2,1885,1913,1824,1837,1884,1852,1856,1923
B3,1921,1893,1953,3729,1916,1858,1907,1845
B4,1870,1848,1847,1853,1881,1874,1869,1904
B5,1953,1879,1932,1901,1888,1917,1883,1880
B6,1916,1841,1908,1894,1883,3743,1854,1898
B7,1875,1899,1866,1889,1867,1855,1894,1882
B8,1907,400,1880,1915,1919,1912,1887,1936
B9,3503,1825,1867,1853,1842,1845,1841,1869
B10,1860,1871,1875,1854,1872,1855,1853,1855
B11,1898,1964,1899,1947,1935,1869,1919,1900
B12,1948,1965,1863,1880,1889,1876,1863,1951
B13,1901,1858,405,1922,1905,1879,1879,1847
B14,1913,1873,1876,1895,1899,1893,1904,1844
B15,1865,1900,1905,1905,1937,1898,1929,1914
