Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1157,1160,1115,1147,1186,1161,1147,1144
B1,1097,1084,1082,1106,1079,1101,1100,1105
B2,1126,1119,1094,1119,1119,1118,1094,1119
B3,1231,1217,1236,1591,1197,1196,1213,1248
B4,1183,1138,1161,1181,1159,1170,1165,1175
B5,1139,1116,1130,1144,1109,1136,1126,1109
B6,1213,1177,1195,1200,1186,1559,1171,1201
B7,1157,1158,1129,1157,1129,1161,1150,1128
B8,1114,411,1117,1149,1120,1117,1114,1134
B9,1425,1129,1146,1147,1146,1164,1147,1150
B10,1100,1101,1103,1111,1104,1110,1090,1100
B11,1135,1140,1137,1200,1137,1138,1127,1138
B12,1129,1103,1115,1139,1120,1134,1126,1134
B13,1118,1099,418,1143,1113,1115,1103,1092
B14,1135,1131,1127,1150,1125,1143,1136,1123
B15,1115,1126,1122,1134,1127,1148,1139,1137
