Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1670,1679,1646,1678,1690,1692,1684,1672
B1,1627,1627,1599,1607,1595,1599,1631,1639
B2,1641,1663,1575,1587,1636,1603,1607,1662
B3,1646,1622,1700,3692,1623,1591,1637,1571
B4,1628,1606,1598,1606,1608,1632,1620,1657
B5,1709,1629,1706,1661,1651,1681,1645,1625
B6,1644,1586,1642,1616,1616,3689,1641,1647
B7,1630,1657,1625,1643,1627,1602,1656,1625
B8,1661,416,1658,1663,1671,1669,1661,1675
B9,3445,1591,1609,1614,1567,1579,1596,1627
B10,1627,1651,1641,1605,1628,1607,1606,1624
B11,1671,1748,1674,1743,1711,1638,1700,1689
B12,1682,1737,1578,1642,1647,1629,1612,1707
B13,1638,1604,430,1674,1650,1611,1631,1589
B14,1685,1626,1661,1648,1664,1638,1658,1584
B15,1615,1639,1675,1644,1684,1640,1687,1677
