Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,977,984,940,963,1000,971,965,956
B1,920,905,903,928,911,921,920,932
B2,957,949,918,945,966,941,921,952
B3,1015,1005,1024,1354,984,980,1013,1045
B4,991,947,1003,1004,979,974,984,1001
B5,956,939,950,966,930,955,953,934
B6,1009,972,1000,985,991,1337,958,1011
B7,990,991,960,984,953,996,978,959
B8,927,430,936,963,947,923,933,965
B9,1194,953,980,954,954,984,968,963
B10,928,933,931,934,935,933,917,928
B11,943,961,969,1003,952,953,934,953
B12,946,926,935,956,941,943,954,962
B13,933,913,441,956,929,935,922,916
B14,961,955,944,955,951,961,964,949
B15,921,935,929,937,938,957,945,952
