Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,999,1009,961,969,1030,995,992,983
B1,929,932,921,948,924,939,937,949
B2,971,964,942,957,963,961,939,966
B3,1034,1022,1052,1372,1003,1001,1032,1060
B4,1001,966,986,1007,983,990,989,1001
B5,975,956,965,979,952,970,963,943
B6,1029,991,1014,1007,1002,1361,975,1033
B7,1005,1005,975,998,950,1016,996,972
B8,949,429,953,983,961,941,953,983
B9,1225,970,1003,970,991,1011,993,994
B10,948,956,952,957,952,956,940,946
B11,979,991,984,1036,985,973,969,984
B12,967,950,963,976,965,972,971,983
B13,956,937,438,977,950,950,946,935
B14,977,979,963,981,971,985,985,962
B15,947,958,954,958,962,984,968,970
