Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,889,906,858,882,922,886,887,880
B1,845,842,837,854,836,847,848,856
B2,872,868,839,862,869,858,848,871
B3,927,914,947,1282,905,891,923,958
B4,904,868,893,904,889,889,889,914
B5,880,867,873,877,851,878,869,851
B6,913,878,904,895,900,1282,868,920
B7,906,904,859,890,872,907,895,878
B8,842,441,859,895,866,848,856,889
B9,1100,867,901,872,882,906,882,886
B10,851,867,859,858,854,862,845,861
B11,880,889,883,919,888,875,865,877
B12,870,856,863,880,868,871,871,887
B13,860,844,451,879,857,849,853,843
B14,882,885,874,881,879,892,891,876
B15,849,862,858,861,866,882,880,869
