Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,891,910,856,885,925,889,887,882
B1,847,842,835,854,833,848,850,858
B2,871,863,840,860,869,858,845,868
B3,927,913,950,1282,907,892,924,965
B4,906,868,895,906,889,892,888,914
B5,879,863,875,884,852,876,867,852
B6,921,887,905,894,900,1284,868,920
B7,908,909,871,898,870,906,897,877
B8,849,444,856,895,875,846,856,890
B9,1094,863,899,870,879,905,886,883
B10,855,860,858,860,856,856,834,855
B11,872,889,881,922,886,875,861,874
B12,866,856,863,881,865,868,872,885
B13,857,844,450,878,855,853,852,842
B14,884,884,872,885,881,892,887,875
B15,851,862,854,862,869,884,871,874
