Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,889,904,861,883,926,886,886,881
B1,843,841,835,855,833,846,851,855
B2,867,866,839,860,865,860,842,869
B3,931,914,943,1282,902,893,925,957
B4,906,868,892,907,888,893,893,914
B5,879,864,873,888,855,876,865,849
B6,919,886,901,895,901,1283,869,920
B7,911,911,871,899,873,901,898,873
B8,854,439,860,895,872,857,860,890
B9,1098,863,898,869,881,904,892,881
B10,857,858,861,863,858,860,845,853
B11,873,890,886,924,885,872,863,874
B12,870,864,862,883,867,871,874,881
B13,858,843,451,884,856,852,852,837
B14,888,884,872,886,882,896,891,873
B15,851,864,858,862,870,882,874,876
