Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,888,906,853,883,925,891,885,875
B1,852,843,837,853,837,844,840,857
B2,861,864,843,859,872,863,842,866
B3,925,912,949,1281,903,894,923,962
B4,912,865,891,905,889,896,891,928
B5,879,865,868,885,853,876,868,851
B6,924,889,917,897,902,1281,868,918
B7,907,910,870,899,871,906,901,869
B8,853,439,857,895,874,847,864,885
B9,1098,864,896,873,881,902,906,883
B10,859,861,855,857,859,854,839,851
B11,876,889,879,930,887,868,866,872
B12,877,855,864,881,865,870,874,881
B13,857,848,452,888,858,849,861,843
B14,884,886,867,889,877,913,889,873
B15,847,855,859,859,869,883,879,878
