Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,888,908,855,882,926,895,887,880
B1,844,845,835,855,834,848,849,856
B2,873,865,842,862,871,857,845,865
B3,924,914,948,1282,901,898,923,963
B4,903,870,896,906,888,888,893,915
B5,878,867,873,887,851,876,868,851
B6,920,887,905,896,901,1282,870,916
B7,913,910,872,892,871,907,895,874
B8,850,439,862,895,872,848,859,890
B9,1100,863,897,868,882,904,890,885
B10,852,863,855,864,858,857,844,852
B11,875,889,878,923,885,874,872,878
B12,871,855,864,862,868,867,855,883
B13,865,842,450,880,858,854,847,839
B14,895,881,863,885,881,891,890,873
B15,848,864,858,864,870,884,873,873
