Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1807,1786,1787,1780,1829,1808,1802,1795
B1,1749,1755,1737,1741,1722,1737,1759,1768
B2,1762,1779,1705,1727,1746,1750,1732,1794
B3,1799,1760,1826,3710,1781,1743,1774,1723
B4,1752,1738,1755,1720,1766,1761,1752,1788
B5,1841,1767,1836,1801,1775,1814,1789,1754
B6,1790,1716,1778,1733,1743,3718,1771,1779
B7,1766,1809,1745,1785,1754,1737,1795,1755
B8,1799,408,1768,1816,1812,1820,1784,1830
B9,3474,1731,1741,1747,1714,1717,1734,1761
B10,1759,1763,1758,1738,1762,1741,1732,1751
B11,1791,1866,1797,1827,1820,1762,1817,1796
B12,1871,1887,1750,1778,1789,1763,1755,1848
B13,1802,1757,416,1817,1787,1746,1761,1721
B14,1815,1770,1752,1767,1811,1770,1756,1731
B15,1764,1798,1813,1776,1819,1787,1823,1807
