Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2009,1976,1962,1963,2001,1980,1999,1980
B1,1969,1956,1948,1930,1926,1942,1972,1967
B2,1975,1984,1907,1916,1955,1934,1942,1993
B3,2021,1987,2004,3753,1991,1944,1974,1935
B4,1960,1932,1972,1946,1969,1957,1961,1984
B5,2025,1958,2016,1976,1971,1997,1961,1958
B6,2005,1913,1972,1952,1937,3745,1945,1977
B7,1965,1980,1955,1967,1952,1936,1975,1962
B8,1993,392,1960,1995,2003,1989,1977,2003
B9,3528,1931,1944,1946,1930,1930,1937,1959
B10,1942,1957,1948,1941,1951,1932,1943,1940
B11,1995,2047,2000,2016,2022,1958,2003,1967
B12,2017,2044,1960,1962,1994,1967,1945,1996
B13,1972,1938,395,2011,1997,1967,1966,1925
B14,1995,2018,1955,1963,1985,1974,1979,1931
B15,1975,1975,1988,1979,1983,1980,1991,1988
