Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1537,1556,1451,1462,1590,1502,1528,1479
B1,1440,1419,1418,1436,1414,1420,1442,1448
B2,1514,1499,1419,1429,1502,1443,1436,1507
B3,1497,1468,1452,3629,1431,1431,1473,1497
B4,1520,1427,1465,1492,1476,1456,1483,1480
B5,1520,1480,1499,1502,1446,1488,1492,1441
B6,1493,1408,1450,1437,1421,3633,1418,1446
B7,1562,1509,1472,1495,1471,1524,1521,1471
B8,1455,442,1467,1502,1506,1425,1475,1508
B9,3403,1400,1428,1404,1424,1451,1439,1433
B10,1433,1462,1455,1441,1449,1438,1426,1428
B11,1485,1507,1482,1564,1492,1450,1457,1474
B12,1476,1426,1453,1460,1466,1449,1460,1487
B13,1465,1437,437,1479,1467,1442,1453,1430
B14,1470,1493,1461,1481,1455,1482,1505,1489
B15,1423,1470,1453,1449,1467,1491,1493,1496
