Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1034,1042,995,1013,1058,1028,1024,1019
B1,970,965,958,980,958,972,975,983
B2,1003,997,971,989,997,992,974,996
B3,1076,1064,1088,1416,1042,1037,1068,1098
B4,1040,998,1027,1043,1020,1021,1028,1043
B5,1007,985,991,1008,979,998,989,971
B6,1066,1032,1049,1045,1046,1386,1014,1063
B7,1035,1028,1005,1018,1003,1032,1020,1000
B8,983,421,984,1016,999,977,984,1012
B9,1266,1009,1034,1015,1022,1044,1030,1021
B10,978,986,982,984,983,986,970,982
B11,1008,1014,1010,1055,1014,1011,999,1008
B12,999,980,991,1007,996,998,997,1011
B13,983,969,434,1008,981,979,978,970
B14,1007,1008,992,1016,1003,1016,1012,1003
B15,983,987,985,994,995,1010,995,999
