Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1925,1888,1888,1899,1973,1915,1932,1915
B1,1885,1868,1848,1853,1846,1855,1873,1878
B2,1893,1913,1816,1842,1895,1857,1851,1917
B3,1925,1890,1960,3723,1909,1859,1894,1843
B4,1871,1850,1857,1855,1899,1877,1876,1908
B5,1945,1879,1937,1909,1890,1919,1883,1880
B6,1916,1836,1887,1871,1861,3724,1861,1890
B7,1873,1898,1871,1888,1861,1846,1896,1878
B8,1911,398,1881,1914,1921,1915,1897,1931
B9,3502,1850,1867,1857,1839,1840,1853,1873
B10,1866,1878,1862,1846,1864,1862,1858,1849
B11,1921,1962,1895,1952,1925,1874,1922,1910
B12,1944,1976,1872,1888,1911,1875,1848,1948
B13,1897,1858,407,1922,1904,1876,1882,1846
B14,1925,1861,1870,1880,1903,1904,1903,1839
B15,1853,1906,1916,1892,1917,1891,1928,1909
