Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,867,885,838,850,901,861,867,865
B1,820,819,812,826,802,821,826,836
B2,853,849,821,838,848,837,821,845
B3,897,882,912,1274,877,862,887,925
B4,880,841,872,872,879,875,857,892
B5,849,855,863,856,830,849,842,827
B6,884,858,873,867,872,1273,841,890
B7,882,883,845,871,849,883,867,852
B8,823,446,835,866,850,822,832,864
B9,1072,842,873,846,862,878,864,863
B10,830,842,842,836,836,832,823,832
B11,860,861,860,921,869,854,848,863
B12,842,831,837,855,832,853,841,859
B13,836,818,452,858,839,828,827,817
B14,854,860,847,857,857,866,869,850
B15,827,838,834,835,840,862,851,850
