Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,863,885,835,852,906,865,860,860
B1,822,813,809,829,809,825,824,831
B2,848,847,818,839,845,837,821,844
B3,893,882,908,1266,876,862,887,928
B4,879,841,864,873,873,861,865,894
B5,852,841,852,858,823,851,843,825
B6,884,853,867,861,867,1272,836,887
B7,883,881,850,876,847,882,868,852
B8,823,443,832,865,847,822,834,861
B9,1071,842,871,845,860,876,863,860
B10,829,837,837,835,833,837,820,830
B11,853,867,865,910,864,852,847,857
B12,852,829,843,853,842,845,845,855
B13,837,820,454,855,832,827,822,817
B14,857,858,847,866,856,868,865,848
B15,824,838,833,837,842,857,836,850
