Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1752,1731,1716,1737,1771,1739,1766,1741
B1,1709,1696,1683,1685,1668,1672,1703,1717
B2,1725,1741,1645,1683,1718,1693,1677,1750
B3,1742,1698,1762,3691,1724,1671,1732,1664
B4,1707,1680,1688,1682,1698,1708,1699,1741
B5,1789,1717,1779,1739,1718,1757,1722,1698
B6,1731,1664,1720,1693,1688,3690,1705,1713
B7,1704,1737,1695,1706,1700,1680,1727,1696
B8,1736,417,1727,1734,1747,1746,1730,1743
B9,3466,1679,1686,1690,1665,1675,1689,1702
B10,1691,1714,1702,1701,1714,1686,1690,1688
B11,1733,1816,1750,1795,1783,1703,1775,1745
B12,1767,1794,1701,1720,1747,1706,1710,1783
B13,1726,1684,428,1744,1731,1690,1707,1670
B14,1750,1699,1701,1706,1752,1732,1739,1665
B15,1684,1735,1739,1720,1761,1720,1752,1741
