Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1881,1867,1847,1858,1898,1870,1916,1886
B1,1857,1846,1824,1824,1811,1820,1850,1858
B2,1863,1878,1789,1812,1861,1824,1830,1897
B3,1894,1862,1921,3734,1874,1836,1868,1826
B4,1841,1823,1821,1816,1849,1828,1844,1871
B5,1916,1842,1918,1872,1862,1889,1845,1850
B6,1889,1807,1870,1850,1842,3740,1829,1900
B7,1819,1879,1854,0,0,0,1876,1837
B8,1880,405,1855,1897,1896,1880,1863,1904
B9,3497,1807,1834,1824,1808,1810,1817,1836
B10,1834,1846,1830,1839,1839,1820,1824,1820
B11,1875,1944,1884,1910,1902,1837,1884,1881
B12,1936,1956,1846,1845,1873,1855,1835,1932
B13,1858,1834,409,1898,1880,1836,1845,1817
B14,1887,1833,1854,1853,1895,1865,1889,1822
B15,1843,1868,1892,1876,1908,1876,1911,1893
