Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1005,1015,963,992,1031,1001,1000,986
B1,948,944,934,958,938,949,949,960
B2,983,975,949,967,976,969,951,978
B3,1054,1039,1061,1387,1016,1015,1045,1077
B4,1017,979,1005,1023,999,1004,1007,1021
B5,985,965,978,990,956,984,975,954
B6,1049,1010,1034,1024,1024,1364,991,1044
B7,1025,1019,987,1013,983,1024,1006,987
B8,960,428,961,990,974,956,960,990
B9,1237,976,1004,988,992,1019,999,996
B10,959,967,964,967,962,966,950,961
B11,992,995,989,1042,994,986,979,980
B12,984,959,968,987,970,975,978,990
B13,961,946,436,984,961,962,953,948
B14,984,985,974,990,979,991,989,977
B15,955,965,963,970,969,988,978,980
