Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,899,919,863,896,927,895,898,887
B1,857,853,843,862,842,856,859,867
B2,885,881,847,872,883,871,855,878
B3,936,926,959,1287,915,902,932,972
B4,917,879,908,919,906,902,904,929
B5,892,876,883,896,863,886,877,861
B6,924,895,915,906,908,1283,878,936
B7,922,923,888,911,883,925,911,892
B8,859,438,866,902,882,861,867,895
B9,1106,871,910,881,895,916,902,893
B10,866,874,868,868,874,868,854,862
B11,886,900,891,936,898,882,877,884
B12,876,859,866,888,872,879,878,896
B13,863,850,449,886,861,864,856,850
B14,890,895,879,891,888,901,899,884
B15,858,870,866,870,873,888,883,881
