Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,912,931,883,906,940,912,910,906
B1,872,869,862,883,859,873,879,884
B2,904,894,866,885,897,886,871,893
B3,960,945,978,1300,933,923,954,991
B4,946,896,922,933,911,919,920,935
B5,904,892,901,910,882,902,898,872
B6,954,915,937,927,931,1295,902,951
B7,936,929,899,925,899,936,920,902
B8,875,435,887,914,899,873,880,912
B9,1131,890,925,900,907,937,917,914
B10,877,888,883,886,879,885,873,877
B11,901,917,907,956,911,906,894,905
B12,897,882,888,898,894,899,899,912
B13,883,870,445,907,879,879,881,868
B14,908,906,895,911,904,912,915,901
B15,877,886,883,891,892,908,896,897
