Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,913,931,881,907,942,913,912,905
B1,873,869,860,875,860,855,872,885
B2,899,898,868,889,895,886,871,894
B3,958,946,977,1300,922,922,933,991
B4,932,897,922,939,933,922,922,944
B5,926,891,900,911,877,904,893,869
B6,959,915,940,930,929,1297,891,950
B7,934,921,899,921,900,934,928,899
B8,876,419,884,915,896,874,887,913
B9,1130,889,924,900,916,932,914,915
B10,883,890,878,890,880,883,862,879
B11,890,913,908,961,907,903,892,905
B12,889,881,894,906,892,899,900,912
B13,879,868,446,905,881,879,870,869
B14,909,924,895,911,905,916,912,901
B15,876,896,890,886,890,909,900,899
