Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,916,920,899,908,948,912,912,911
B1,871,869,861,889,861,873,874,884
B2,897,894,868,886,893,879,868,896
B3,960,952,978,1300,931,921,954,990
B4,935,890,916,934,918,925,922,941
B5,906,897,896,911,881,904,892,881
B6,972,912,937,927,924,1294,902,951
B7,931,934,903,923,903,937,928,902
B8,873,436,878,917,896,875,882,911
B9,1131,892,924,900,911,933,920,919
B10,877,887,884,885,882,884,871,878
B11,908,914,912,959,911,900,892,910
B12,896,885,892,901,894,898,899,911
B13,888,868,442,906,885,877,876,869
B14,909,909,896,913,903,915,916,901
B15,874,889,881,888,891,908,896,898
