Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1018,1019,980,1004,1042,1013,1006,1005
B1,957,950,944,966,943,956,956,963
B2,994,983,959,980,986,983,964,985
B3,1056,1043,1073,1401,1025,1029,1043,1079
B4,1026,988,1010,1033,1010,1013,1016,1034
B5,992,978,980,993,967,984,976,959
B6,1052,1013,1037,1028,1030,1372,998,1051
B7,1024,1024,990,1013,986,1029,1014,996
B8,971,426,976,1005,992,970,977,1002
B9,1247,987,1020,999,1008,1030,1011,1011
B10,967,977,975,980,972,976,960,967
B11,996,1004,999,1047,1005,997,985,988
B12,987,970,983,997,984,995,991,1002
B13,973,957,437,996,972,972,964,958
B14,1002,1001,995,1009,991,1006,1010,994
B15,967,984,977,983,985,1001,993,993
