Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2063,2034,2025,2046,2066,2050,2061,2051
B1,2028,2011,2009,1992,1987,1992,2020,2021
B2,2033,2043,1973,1982,2030,1997,2004,2063
B3,2069,2003,2076,3758,2037,2002,2027,1991
B4,2027,1993,2007,2005,2022,2024,2025,2055
B5,2076,2015,2067,2035,2014,2039,2020,2023
B6,2071,1981,2025,2008,1998,3764,2000,2027
B7,2028,2061,2007,2019,2009,2004,2024,2018
B8,2059,387,2040,2065,2066,2048,2036,2065
B9,3535,2003,2005,2011,1992,1991,1999,1996
B10,2008,2019,2016,1997,2008,1989,1994,2001
B11,2059,2089,2050,2077,2074,2012,2017,2031
B12,2083,2094,2027,2020,2041,2019,2009,2085
B13,2048,2008,393,2059,2042,2012,2035,1994
B14,2067,2091,2019,2044,2068,2054,2072,2016
B15,2024,2047,2056,2034,2058,2028,2059,2057
