Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2063,2045,2020,2038,2081,2049,2081,2053
B1,2023,2014,1998,2018,1988,1989,2009,2019
B2,2028,2043,1956,1981,2034,1995,1995,2051
B3,2057,2031,2044,3813,2007,2001,2033,1992
B4,2029,1941,2000,2017,2018,2020,2017,2053
B5,2075,2007,2073,2028,2031,2035,2026,2020
B6,2087,1976,2028,2004,2011,3771,2004,2015
B7,2030,2039,2004,2031,2025,2004,2032,2016
B8,2057,387,2025,2063,2075,2055,2039,2071
B9,3530,2002,2001,1994,1996,1992,2005,2008
B10,2018,2015,2012,1999,2009,2002,2010,2000
B11,2050,2073,2052,2067,2073,2014,2021,2029
B12,2085,2093,2001,2019,2045,2017,2008,2087
B13,2047,2005,391,2059,2020,2016,2027,1985
B14,2074,2094,2026,2045,2076,2055,2056,2018
B15,2029,2043,2041,2036,2056,2037,2076,2052
