Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1106,1113,1070,1090,1134,1103,1097,1093
B1,1041,1036,1032,1052,1030,1044,1043,1054
B2,1057,1051,1034,1049,1049,1052,1034,1056
B3,1166,1148,1169,1511,1125,1130,1156,1180
B4,1116,1076,1096,1121,1091,1095,1105,1117
B5,1085,1062,1073,1090,1050,1077,1066,1048
B6,1173,1115,1137,1132,1124,1483,1107,1149
B7,1116,1111,1079,1125,1076,1112,1095,1079
B8,1037,424,1040,1075,1054,1038,1040,1066
B9,1354,1078,1092,1092,1093,1114,1093,1094
B10,1047,1054,1050,1061,1051,1052,1044,1044
B11,1075,1082,1080,1130,1077,1077,1066,1080
B12,1067,1032,1060,1087,1055,1068,1067,1081
B13,1044,1031,428,1067,1046,1043,1036,1033
B14,1065,1064,1052,1073,1070,1074,1074,1069
B15,1042,1049,1044,1053,1050,1076,1062,1061
