Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2677,2664,2653,2659,2674,2650,2662,2668
B1,2661,2647,2635,2651,2656,2646,2654,2649
B2,2662,2657,2647,2636,2634,2631,2647,2657
B3,2736,2676,2666,3840,2683,2672,2669,2673
B4,2660,2643,2642,2635,2661,2638,2648,2648
B5,2681,2656,2651,2664,2646,2654,2640,2651
B6,2739,2646,2681,2671,2656,3820,2660,2663
B7,2646,2664,2647,2671,2647,2630,2654,2644
B8,2680,330,2656,2679,2670,2660,2657,2679
B9,3685,2656,2664,2656,2680,2657,2684,2654
B10,2664,2648,2661,2656,2651,2648,2648,2654
B11,2681,2675,2671,2673,2668,2656,2651,2664
B12,2683,2652,2660,2646,2664,2654,2642,2704
B13,2675,2652,336,2650,2661,2652,2656,2649
B14,2690,2667,2659,2671,2662,2668,2676,2642
B15,2667,2668,2660,2657,2665,2654,2677,2653
