Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1723,1703,1688,1703,1746,1723,1731,1712
B1,1679,1677,1658,1663,1636,1653,1684,1698
B2,1697,1711,1622,1648,1688,1660,1652,1721
B3,1723,1671,1756,3695,1701,1650,1697,1637
B4,1682,1657,1664,1666,1678,1685,1678,1716
B5,1749,1681,1750,1700,1694,1737,1688,1675
B6,1705,1626,1688,1675,1649,3690,1690,1689
B7,1682,1708,1669,1685,1669,1652,1700,1681
B8,1706,420,1705,1717,1724,1716,1699,1717
B9,3451,1639,1639,1668,1632,1633,1655,1675
B10,1667,1692,1680,1661,1684,1665,1661,1669
B11,1699,1779,1719,1761,1748,1679,1743,1716
B12,1746,1784,1663,1673,1706,1694,1662,1776
B13,1699,1662,434,1734,1690,1663,1680,1644
B14,1732,1669,1676,1689,1725,1699,1708,1634
B15,1658,1704,1730,1689,1729,1694,1724,1706
