Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2240,2229,2207,2230,2258,2231,2235,2237
B1,2226,2201,2191,2179,2207,2216,2218,2216
B2,2205,2227,2162,2196,2211,2193,2188,2233
B3,2250,2225,2258,3755,2241,2195,2215,2215
B4,2205,2190,2192,2182,2212,2214,2206,2228
B5,2267,2211,2247,2230,2218,2248,2210,2225
B6,2280,2167,2238,2248,2200,3749,2200,2208
B7,2216,2212,2206,2224,2192,2202,2208,2205
B8,2230,373,2209,2236,2234,2236,2210,2244
B9,3552,2191,2190,2181,2216,2170,2212,2202
B10,2216,2194,2177,2189,2179,2177,2211,2184
B11,2241,2298,2235,2240,2243,2200,2227,2223
B12,2272,2256,2212,2226,2233,2227,2209,2251
B13,2230,2207,381,2239,2232,2209,2212,2185
B14,2251,2230,2207,2223,2236,2241,2253,2200
B15,2176,2225,2220,2223,2232,2224,2246,2238
