Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2055,2033,2021,2040,2075,2051,2062,2054
B1,2037,2010,2001,1997,1989,1988,2010,2018
B2,2033,2050,1968,1980,2014,1995,2010,2049
B3,2069,2035,2077,3744,2035,2009,2033,1989
B4,2020,1994,2010,2005,2026,2017,2028,2056
B5,2077,2013,2062,2036,2019,2044,2026,2022
B6,2063,1973,2022,2011,2010,3771,2001,2012
B7,2017,2034,2010,2023,2016,1995,2027,2016
B8,2052,387,2015,2051,2065,2052,2033,2070
B9,3542,2008,2010,1995,1999,1995,2005,2003
B10,2006,2014,2011,2010,2006,1990,1998,2002
B11,2057,2059,2046,2080,2077,2012,2014,2032
B12,2096,2092,2018,2024,2054,2024,2006,2084
B13,2047,2007,391,2061,2034,2015,2032,1995
B14,2076,2083,2019,2036,2070,2055,2069,2005
B15,2034,2044,2065,2039,2047,2033,2054,2062
