Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2042,2032,2022,2037,2063,2045,2062,2052
B1,2028,2017,1998,1985,1983,1990,2013,2016
B2,2036,2040,1967,1959,2028,1991,1996,2056
B3,2077,2022,2072,3750,2042,1997,2034,2007
B4,2023,1994,2012,2009,2027,2015,2023,2056
B5,2083,2008,2075,2029,2011,2068,1993,2019
B6,2069,1975,2030,2020,1992,3761,1999,2025
B7,1998,2013,2026,2028,2005,2003,2034,2017
B8,2058,386,2024,2064,2064,2046,2032,2068
B9,3536,2011,2015,1994,1995,1996,1990,1997
B10,2005,2016,2017,1997,2004,1985,1994,1995
B11,2059,2078,2060,2075,2072,2016,2018,2031
B12,2099,2090,2022,2021,2041,2016,2008,2083
B13,2049,2003,392,2064,2044,2018,2032,1988
B14,2068,2085,2028,2028,2074,2059,2076,2017
B15,2006,2047,2053,2043,2053,2039,2064,2050
