Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,981,985,935,965,999,970,965,959
B1,919,916,908,928,908,920,920,932
B2,955,948,921,941,949,939,925,952
B3,1018,1006,1030,1354,983,977,1009,1045
B4,989,949,977,991,977,979,977,996
B5,963,944,952,969,928,955,948,927
B6,1009,973,997,987,988,1335,960,1009
B7,995,991,956,984,952,992,982,959
B8,928,430,931,965,946,912,932,957
B9,1198,943,975,950,963,983,969,971
B10,929,934,932,933,932,935,921,927
B11,951,964,962,1004,958,951,942,954
B12,943,927,939,955,941,945,950,960
B13,930,914,437,952,926,926,922,913
B14,954,954,943,963,951,960,967,949
B15,921,932,930,938,941,958,948,950
