Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2022,2004,1996,2021,2004,2015,2037,2010
B1,1997,1974,1969,1961,1972,1963,1982,1996
B2,2002,2024,1942,1958,2005,1966,1972,2022
B3,2032,2005,2047,3753,2011,1981,2008,2006
B4,1994,1965,1981,1980,2000,1994,1992,2022
B5,2053,1987,2039,2016,1995,2027,2001,1993
B6,2034,1954,2013,1987,1977,3759,1981,2011
B7,1993,2012,1989,1993,1987,1974,2000,1985
B8,2015,387,1989,2023,2023,2008,2000,2015
B9,3527,1973,1978,1977,1962,1965,1972,1995
B10,1981,1983,1978,1967,1977,1955,1975,1968
B11,2018,2053,2012,2042,2045,1978,2024,2000
B12,2057,2059,1989,1991,2018,2004,1971,2046
B13,2016,1969,388,2025,2020,1980,1980,1967
B14,2027,2061,1957,1996,2017,2010,2015,1969
B15,1981,2007,2014,2012,2019,2001,2038,2017
