Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,983,994,952,974,1011,979,978,970
B1,927,926,915,939,913,928,926,941
B2,954,949,928,944,948,946,930,948
B3,1017,1009,1039,1364,991,985,1018,1051
B4,992,953,980,992,972,982,980,996
B5,960,944,952,965,932,957,952,931
B6,1017,981,1001,993,992,1342,968,1017
B7,1002,995,964,987,963,1002,986,967
B8,939,430,942,976,958,934,940,975
B9,1207,953,986,970,976,995,983,981
B10,942,951,946,949,947,950,935,941
B11,971,984,976,1019,978,970,960,965
B12,956,933,948,968,953,957,959,972
B13,941,927,439,969,939,940,949,908
B14,973,968,950,968,961,963,976,960
B15,933,943,942,950,952,970,959,958
