Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1952,1916,1909,1920,1953,1923,1946,1947
B1,1919,1891,1870,1877,1862,1872,1888,1904
B2,1923,1936,1850,1860,1915,1858,1879,1943
B3,1934,1908,1988,3753,1945,1890,1922,1882
B4,1900,1878,1887,1888,1919,1901,1903,1934
B5,1976,1913,1970,1926,1920,1945,1916,1903
B6,1944,1859,1922,1899,1896,3740,1891,1924
B7,1899,1918,1900,1916,1894,1895,1912,1909
B8,1939,400,1907,1935,1948,1929,1916,1938
B9,3513,1872,1890,1887,1873,1877,1883,1906
B10,1897,1898,1886,1891,1912,1869,1869,1879
B11,1930,1964,1953,1966,1954,1893,1943,1927
B12,1977,1985,1893,1912,1926,1911,1896,1972
B13,1932,1879,405,1949,1927,1897,1906,1873
B14,1929,1888,1899,1941,1918,1916,1920,1877
B15,1894,1926,1932,1926,1943,1929,1945,1931
