Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,2360,2357,2308,2358,2363,2346,2366,2343
B1,2322,2298,2305,2300,2307,2275,2325,2320
B2,2342,2331,2281,2301,2318,2298,2299,2359
B3,2362,2344,2361,3772,2346,2310,2326,2322
B4,2308,2290,2317,2297,2322,2307,2310,2336
B5,2392,2319,2353,2336,2305,2356,2311,2325
B6,2376,2283,2343,2329,2308,3779,2305,2328
B7,2325,2332,2308,2312,2311,2302,2329,2315
B8,2353,367,2332,2446,2369,2356,2347,2464
B9,3596,2321,2338,2311,2359,2333,2379,2305
B10,2310,2330,2321,2305,2313,2299,2327,2321
B11,2362,2416,2351,2360,2354,2313,2344,2327
B12,2347,2365,2319,2323,2339,2320,2306,2356
B13,2354,2313,374,2339,2335,2298,2322,2308
B14,2351,2317,2319,2320,2345,2344,2348,2305
B15,2310,2330,2332,2328,2338,2341,2322,2342
