Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1728,1699,1693,1690,1743,1724,1742,1721
B1,1684,1676,1654,1639,1642,1655,1679,1687
B2,1696,1712,1618,1635,1685,1656,1659,1712
B3,1722,1681,1756,3690,1710,1654,1697,1641
B4,1712,1659,1667,1668,1675,1696,1682,1727
B5,1763,1688,1757,1705,1698,1733,1699,1699
B6,1706,1605,1745,1671,1636,3691,1690,1692
B7,1687,1715,1681,1702,1672,1658,1698,1688
B8,1711,419,1724,1736,1736,1724,1710,1722
B9,3450,1643,1655,1665,1631,1636,1637,1677
B10,1671,1694,1683,1659,1706,1669,1648,1670
B11,1702,1782,1725,1771,1748,1673,1731,1723
B12,1751,1781,1673,1685,1706,1686,1661,1763
B13,1699,1658,428,1734,1701,1654,1680,1642
B14,1731,1665,1672,1691,1722,1710,1714,1640
B15,1659,1715,1725,1695,1728,1694,1732,1724
