Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1504,1534,1433,1437,1577,1485,1491,1499
B1,1418,1398,1391,1408,1389,1403,1420,1427
B2,1489,1477,1401,1411,1478,1424,1414,1483
B3,1467,1446,1441,3623,1414,1409,1432,1479
B4,1503,1398,1447,1471,1450,1430,1467,1463
B5,1482,1444,1470,1460,1421,1459,1450,1414
B6,1471,1392,1428,1417,1402,3624,1399,1426
B7,1528,1492,1440,1467,1448,1501,1484,1433
B8,1436,431,1448,1496,1489,1399,1456,1512
B9,3390,1396,1430,1398,1429,1456,1438,1422
B10,1411,1439,1436,1424,1441,1423,1412,1407
B11,1472,1499,1477,1550,1486,1442,1452,1487
B12,1478,1420,1453,1462,1469,1444,1469,1490
B13,1472,1433,435,1484,1472,1444,1456,1430
B14,1464,1488,1450,1469,1448,1477,1502,1470
B15,1419,1450,1437,1434,1454,1476,1490,1470
