Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,1149,1157,1108,1132,1175,1152,1149,1130
B1,1083,1073,1065,1090,1075,1088,1087,1092
B2,1116,1103,1080,1103,1106,1106,1087,1110
B3,1212,1201,1219,1572,1185,1183,1199,1234
B4,1163,1121,1146,1163,1145,1153,1149,1165
B5,1127,1111,1119,1146,1097,1124,1108,1096
B6,1197,1162,1187,1185,1169,1542,1160,1193
B7,1159,1152,1125,1153,1123,1158,1149,1113
B8,1100,412,1103,1130,1117,1101,1103,1120
B9,1402,1114,1133,1129,1134,1153,1130,1135
B10,1094,1093,1092,1101,1093,1103,1082,1088
B11,1122,1123,1121,1170,1122,1122,1107,1111
B12,1113,1093,1105,1121,1107,1105,1104,1119
B13,1101,1086,420,1122,1097,1099,1075,1081
B14,1119,1115,1113,1134,1110,1127,1122,1107
B15,1096,1098,1106,1109,1110,1124,1121,1123
