Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,861,880,831,841,900,858,858,852
B1,814,809,798,822,800,814,822,813
B2,837,837,810,829,837,827,812,838
B3,883,874,907,1267,868,858,882,919
B4,873,836,862,864,868,859,861,880
B5,845,833,842,852,820,842,834,822
B6,882,850,867,851,863,1269,824,877
B7,880,880,837,867,840,876,859,843
B8,820,441,833,853,842,812,828,861
B9,1059,831,865,837,851,870,855,853
B10,824,834,826,830,828,831,813,820
B11,844,861,852,898,856,838,836,849
B12,838,827,833,848,836,837,834,854
B13,827,813,453,849,827,823,820,797
B14,851,851,833,840,846,859,860,825
B15,817,832,828,828,839,853,840,841
