Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,861,880,833,850,895,858,857,850
B1,814,812,802,822,802,819,816,826
B2,841,838,811,829,839,826,811,834
B3,884,873,902,1265,856,849,883,919
B4,868,832,861,864,871,863,856,880
B5,845,834,842,850,801,843,826,818
B6,877,847,862,854,860,1269,829,877
B7,874,872,843,867,843,874,865,845
B8,823,443,829,868,841,818,826,872
B9,1060,830,865,832,850,867,856,852
B10,827,833,830,828,826,827,815,821
B11,845,860,853,898,854,844,833,847
B12,835,825,833,846,837,836,838,855
B13,826,813,449,848,828,824,820,814
B14,851,855,837,847,849,856,858,841
B15,818,829,827,829,837,845,842,845
