Bank,P0,P1,P2,P3,P4,P5,P6,P7
B0,869,887,843,865,903,869,871,859
B1,832,845,815,841,818,826,834,843
B2,860,856,830,848,854,845,824,856
B3,907,868,933,1273,883,868,893,942
B4,890,852,878,888,885,878,872,904
B5,849,855,861,868,836,862,856,835
B6,896,865,887,881,879,1276,848,901
B7,898,895,860,884,860,899,883,858
B8,831,441,841,870,858,831,841,868
B9,1079,845,880,852,862,879,871,866
B10,838,848,841,843,840,844,829,838
B11,859,873,866,914,867,854,849,863
B12,848,834,841,859,846,847,848,865
B13,837,823,452,861,838,832,832,823
B14,864,871,852,863,861,872,875,857
B15,832,843,836,848,846,867,856,856
